X,ND5,ND10,ND15,ND20,ND25,ND30,ND35,ND40,ND45,ND50,ND55
t3 d3 c0,181458,181586,181454,181408,181486,181690,181350,181583,181595,181518,181533
t3 d3 c1,216611,216690,216682,216708,216433,216600,216702,216710,216715,216668,216557
t3 d3 c2,242189,242079,242041,242094,242115,242109,242033,242011,242023,242002,242093
t3 d3 c3,261821,261754,261707,261633,261739,261738,261708,261895,261781,261731,261765
t3 d4 c0,216682,216646,216843,216680,216664,216608,216676,216696,216599,216654,216705
t3 d4 c1,242208,242013,242134,242082,242077,242012,242020,242019,242064,242134,242052
t3 d4 c2,261844,261661,261746,261781,261564,261760,261767,261768,261765,261716,261720
t3 d4 c3,277788,277956,277849,277968,277798,277857,277823,277860,277832,277830,277875
t3 d4 c4,291606,291565,291469,291502,291441,291457,291525,291521,291569,291554,291444
t3 d5 c0,242115,242157,242043,242086,242009,242022,242046,242050,242076,242011,242208
t3 d5 c1,261648,261788,261670,261837,261787,261718,261747,261683,261739,261648,261693
t3 d5 c2,278010,277867,277920,277837,277897,277990,277954,277838,277790,277823,277731
t3 d5 c3,291400,291536,291551,291546,291422,291476,291428,291517,291426,291480,291593
t3 d5 c4,303500,303579,303522,303402,303500,303497,303445,303490,303541,303462,303470
t3 d5 c5,314205,314062,314365,314134,314135,314238,314121,314274,314282,314236,314155
t3 d6 c0,261681,261798,261752,261818,261739,261716,261868,261700,261810,261822,261831
t3 d6 c1,277841,277757,277773,277988,277804,277884,277924,277850,277852,277987,277759
t3 d6 c2,291497,291450,291474,291510,291504,291581,291384,291567,291680,291394,291454
t3 d6 c3,303542,303592,303517,303571,303488,303557,303538,303586,303580,303445,303481
t3 d6 c4,314188,314235,314310,314136,314273,314259,314284,314187,314224,314197,314212
t3 d6 c5,324050,323963,323938,324043,323999,323993,324020,323987,323982,323969,323923
t3 d6 c6,332831,332984,333051,333092,333069,333007,333171,332818,333099,333021,333034
t3 d7 c0,277843,277881,277802,277976,277672,277915,277891,277775,277824,277704,277803
t3 d7 c1,291589,291371,291385,291603,291529,291465,291519,291603,291463,291680,291669
t3 d7 c2,303485,303462,303417,303572,303736,303440,303633,303569,303308,303541,303383
t3 d7 c3,314180,314306,314103,314203,314163,314226,314175,314319,314061,314154,314242
t3 d7 c4,324019,323967,324058,324000,324049,324030,323924,324119,324196,323919,323991
t3 d7 c5,332956,333088,333020,333083,332972,333017,333054,332993,332949,333028,333162
t3 d7 c6,341355,341415,341511,341460,341395,341551,341508,341451,341393,341350,341495
t3 d7 c7,349414,349387,349313,349150,349379,349325,349320,349288,349271,349346,349214
t4 d1 c0,104405,104462,104433,104490,104470,104464,104493,104426,104515,104469,104499
t4 d1 c1,171553,171594,171597,171593,171612,171568,171458,171576,171512,171626,171486
t4 d2 c0,171518,171692,171572,171622,171598,171490,171443,171546,171498,171460,171519
t4 d2 c1,216757,216716,216601,216681,216698,216629,216669,216599,216796,216681,216706
t4 d2 c2,241925,241917,242042,242042,242084,241964,241972,242048,242094,242041,241970
t4 d3 c0,216643,216784,216770,216713,216603,216561,216685,216667,216664,216674,216733
t4 d3 c1,241948,242120,242068,242041,242161,241795,241986,241956,242053,241955,241924
t4 d3 c2,280396,280399,280554,280390,280300,280378,280371,280327,280304,280522,280471
t4 d3 c3,309642,309818,309472,309636,309701,309564,309557,309650,309714,309664,309714
t4 d4 c0,242058,242046,241939,241942,241985,242137,241986,242022,241918,242018,242025
t4 d4 c1,280463,280507,280513,280425,280383,280388,280424,280378,280368,280408,280498
t4 d4 c2,309518,309479,309649,309662,309598,309573,309659,309578,309582,309736,309661
t4 d4 c3,332782,333031,332934,333020,332834,332938,333021,332789,333054,333008,333007
t4 d4 c4,352125,352135,352140,352234,352162,352404,352147,352133,352229,352311,352183
t4 d5 c0,280370,280486,280327,280591,280491,280391,280426,280394,280373,280557,280369
t4 d5 c1,309711,309527,309689,309642,309859,309611,309696,309603,309608,309514,309545
t4 d5 c2,332945,332975,332958,332861,332889,332982,332977,333101,332997,332818,332867
t4 d5 c3,352302,352254,352150,352177,352020,352078,352133,352191,352220,352190,352245
t4 d5 c4,368761,368651,368695,368730,368802,368705,368698,368714,368783,368719,368631
t4 d5 c5,383249,383262,383256,383369,383214,383155,383438,383137,383184,383243,383304
t4 d6 c0,309726,309501,309672,309448,309598,309724,309595,309810,309526,309617,309648
t4 d6 c1,332802,332935,332868,332869,332863,332925,332989,333063,332939,332882,332836
t4 d6 c2,352424,352183,352137,352282,352242,352182,352327,352123,352106,352314,352392
t4 d6 c3,368615,368890,368832,368727,368747,368753,368949,368705,368806,368771,368751
t4 d6 c4,383107,383153,383118,383104,383259,383300,383104,383140,383284,383474,383241
t4 d6 c5,396079,396172,396205,396273,396140,395999,395951,396176,396182,396176,396152
t4 d6 c6,407863,408029,407999,408079,407824,408011,407930,407897,408055,407931,407956
t4 d7 c0,332839,332831,333077,332954,332832,333076,332933,332938,332876,332884,332954
t4 d7 c1,352187,352138,352217,352151,352280,352211,352255,352198,352012,352238,352241
t4 d7 c2,368735,368745,368659,368884,368696,368838,368628,368645,368797,368719,368831
t4 d7 c3,383181,383198,383047,383235,383146,383250,383213,383150,383270,383179,383302
t4 d7 c4,396028,396054,396106,396309,396137,396045,396305,396207,396150,396162,396239
